"row ID","UniSMILES","pIC50","SD","hERG_class"
"Row159","CC(=O)NCCc1ccccc1-c1ccc([C@H]2CNCC[C@]2(O)c2ccc(F)c(F)c2)c(C)c1",5.38,0.0,"active"
"Row160","CC(=O)NC[C@@H]1OC(=O)N2[C@H]1COc1cc(ccc21)-c1ccc(nc1)C#N",5.56,0.0,"active"
"Row161","CC(=O)N[C@@H](CCN1[C@H]2CC[C@@H]1C[C@@H](C2)n1c(C)nc2CN(CCc12)C(=O)C(C)(C)C)c1cccc(F)c1",5.3,0.0,"active"
"Row162","CC(=O)N[C@@H](CCN1[C@H]2CC[C@@H]1C[C@@H](C2)n1c(C)nc2CN(CCc12)C(C)=O)c1cccc(F)c1",5.3,0.0,"active"
"Row163","CC(=O)N[C@@H](CCN1[C@H]2CC[C@@H]1C[C@@H](C2)n1c(C)nc2CN(CCc12)c1ccncn1)c1cccc(F)c1",8.0,0.0,"active"
"Row164","CC(=O)N[C@@H](CCN1[C@H]2CC[C@@H]1C[C@@H](C2)n1c(C)nc2CN(CCc12)c1cnccn1)c1cccc(F)c1",6.0,0.0,"active"
"Row165","CC(=O)N[C@@H](CCN1[C@H]2CC[C@@H]1C[C@@H](C2)n1c(C)nc2ccccc12)c1ccccc1",5.82,0.0,"active"
"Row166","CC(=O)N[C@@H]1CC(C)(C)Oc2nc(-c3ccc(Cl)cc3Cl)c(cc12)-c1ccc(Cl)cc1",6.27,0.0,"active"
"Row167","CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4n(C(N)=O)c5ccccc5c4c3)CC2)c2ccccc12",5.7,0.0,"active"
"Row168","CC(=O)N[C@H]1CC(C)(C)Oc2nc(-c3ccc(Cl)cc3Cl)c(cc12)-c1ccc(Cl)cc1",5.58,0.0,"active"
"Row169","CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)c(F)cc1C",4.8,0.0,"inactive"
"Row170","CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1C",4.68,0.0,"inactive"
"Row171","CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ccc1C1CC1",4.72,0.0,"inactive"
"Row172","CC(=O)Nc1cc(Nc2cc(NC3CC3)n3ncc(C#N)c3n2)ncc1C",4.72,0.0,"inactive"
"Row173","CC(=O)Nc1cc(Nc2cc(NC3CCC3)n3ncc(C#N)c3n2)c(F)cc1C",4.8,0.0,"inactive"
"Row174","CC(=O)Nc1cc(Nc2cc(NC3CCC3)n3ncc(C#N)c3n2)ccc1C",4.96,0.0,"inactive"
"Row175","CC(=O)Nc1ccc(CCN2CCC(COc3nc4ccccc4c4cn(C)cc34)CC2)cc1",7.7,0.0,"active"
"Row176","CC(=O)Nc1ccc(CN2CCC(CC2)NC(=O)c2cc(=O)c3ccc(F)cc3o2)cc1",5.82,2.1213203435596424,"active"
"Row177","CC(=O)Nc1ccc(cn1)-c1cc2sc(nc2cn1)N1CCC(CC1)N1CCCCC1",5.07,0.0,"active"
"Row178","CC(=O)Nc1ccc(cn1)-c1cnc2nc(sc2c1)N1CCC(CC1)N1CCCCC1",4.4,0.0,"inactive"
"Row179","CC(=O)Nc1ccc2C(=O)N(CCCCN3CCC(CC3)Nc3nc4ccccc4n3Cc3ccc(F)cc3)C(=O)c3cccc1c23",6.74,0.0,"active"
"Row180","CC(=O)Nc1ccc2CCC(N3CCC(CC3)NC(=O)c3cc(=O)c4ccc(F)cc4o3)c2c1",4.613333333333332,0.17897858344877723,"inactive"
"Row181","CC(=O)Nc1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1",5.07,0.0,"active"
"Row182","CC(=O)Nc1cccc(CN2CCC(CC2)NC(=O)c2cc(=O)c3ccc(F)cc3o2)c1",4.22,0.0,"inactive"
"Row183","CC(=O)Nc1cccc(Nc2ncnc(n2)N2CCC(CC2)OCc2ccc(C)cc2)c1C",5.71,0.0,"active"
"Row184","CC(=O)Nc1cccc(Nc2ncnc(n2)N2CCC(CC2)Oc2ccc(OC(F)(F)F)cc2)c1C",5.58,0.0,"active"
"Row185","CC(=O)Nc1cccc(Nc2ncnc(n2)N2CCC(CC2)Oc2ccc(cc2)C(F)(F)F)c1C",5.39,0.0,"active"
"Row186","CC(=O)Nc1cccc(Nc2ncnc(n2)N2CCc3ccccc3C2)c1",5.42,0.0,"active"
"Row187","CC(=O)Nc1cccc(c1)C1CCN(CCCn2c(nc3ccccc23)-c2ccc(Cl)cc2)CC1",8.52,0.0,"active"
"Row188","CC(=O)Nc1cccc(c1)C1CCN(CCCn2nc(-c3ccc(F)c(F)c3)c3ccccc3c2=O)CC1",4.8,0.0,"inactive"
"Row189","CC(=O)Nc1cccc(c1)C1CCN(Cc2ccc(cc2)C(=O)c2nc(C)c(C)n2-c2ccc(F)cc2)CC1",5.77,0.0,"active"
"Row190","CC(=O)Nc1cccc(c1)C1CCN(Cc2ccc(cc2)C(=O)c2nc3ccccc3n2-c2ccc(Cl)cc2)CC1",5.77,0.0,"active"
"Row191","CC(=O)Nc1cccc(c1)C1CCN(Cc2ccc(cc2)C(=O)c2nc3ccccc3n2-c2ccc(F)cc2)CC1",5.71,0.0,"active"
"Row192","CC(=O)Nc1cccc(c1)C1CCN(Cc2ccc(cc2)C(=O)c2nc3ccccc3n2C2CCOCC2)CC1",5.92,0.0,"active"
"Row193","CC(=O)Nc1cccc(c1)C1CCN(Cc2ccc(cc2F)C(=O)c2nc3ccccc3n2-c2ccc(F)cc2)CC1",5.72,0.0,"active"
"Row194","CC(=O)Nc1cccc(c1)N1CCN(CC2CCN(CC2)S(=O)(=O)CC2CCCCC2)CC1",5.7,0.0,"active"
"Row195","CC(=O)Nc1cccc(c1)N1CCN(CCCCNS(=O)(=O)CC2CCCCC2)CC1",5.42,0.0,"active"
